Kings,Count
c5,9477
c1,20810
e6,15393
g6,16034
g8,75769
c6,11111
d4,11313
h7,16102
a8,2606
a7,3858
g7,25864
f7,25293
b3,8419
a2,4128
f1,20113
d6,13538
e1,9480
b1,9764
c8,19497
e8,10528
g3,18137
a4,4093
c7,12527
b2,8649
g2,27231
d3,15335
h3,9945
h4,7359
d1,11577
f3,19647
a6,4276
d8,13068
e5,11833
b8,9228
b5,7549
b7,8500
f2,27126
h6,9240
f6,17436
h5,7436
g5,12131
f4,13819
d2,18926
f8,19457
h1,19260
b6,8615
a5,4137
e2,23806
e7,23370
h2,18543
a3,4103
h8,16776
g4,12631
c4,9812
a1,2869
c3,11457
f5,13095
d7,19335
b4,7492
d5,10403
e4,12930
c2,12686
e3,18434
g1,92787
