Knights,Count
h6,82684
f2,70417
f6,972359
h5,123023
g5,260159
f4,224585
d2,440877
f8,51584
f3,1313697
a6,73604
d8,38978
e5,671741
b8,31181
b5,172864
b7,36956
c4,236312
a1,15185
c3,995226
f5,243877
d7,456781
b4,137436
d5,534368
e4,588129
c2,78352
e3,163948
g1,20861
h1,9702
b6,132309
a5,94475
e2,316521
e7,317384
h2,53319
a3,78674
h8,16315
g4,208032
f7,95463
b3,121114
a2,23976
d6,171173
f1,51992
e1,41800
c5,227950
c1,28645
e6,164784
c6,708957
g6,154669
g8,24939
d4,542193
h7,44228
a8,19606
a7,27067
g7,34942
a4,90688
c7,90274
b2,32078
g2,28470
d3,153910
h4,123041
h3,73789
d1,38897
b1,26680
c8,32332
e8,47170
g3,158171
