Kings,Count
g7,2648610
g2,2551316
f7,2498947
f2,2439045
e7,2202459
e2,2125128
f8,1870341
f1,1861728
h1,1850198
f3,1837993
d7,1814056
h2,1763493
f6,1732085
h8,1693181
e3,1688056
g3,1664736
d2,1652600
h7,1627987
g6,1533857
e6,1523033
g8,1405605
d3,1405103
d6,1337148
g1,1332721
f4,1308230
f5,1257125
e4,1231420
e5,1178783
c7,1173765
g4,1170277
g5,1156815
d8,1153963
c2,1108665
d4,1071044
c6,1068038
d5,1030367
c3,1029000
e8,973787
d1,958858
c5,938221
c4,932967
h6,891462
h3,888213
b1,878301
e1,829981
b8,825357
b6,799800
b7,766341
b3,759867
b2,739595
b5,711435
b4,698251
h4,676006
h5,672385
c8,604406
c1,553288
a6,374086
a5,373639
a4,362414
a3,361763
a2,346517
a7,345818
a1,232975
a8,229055
