Location,Count
c4,882207
a1,16879
c3,661584
f5,681221
d7,30361
b4,650954
d5,1630181
e4,1447366
c2,27956
e3,433461
g1,10156
h1,11951
a5,459763
b6,445792
e2,23989
e7,28129
h2,24110
a3,462933
h8,13086
g4,577667
h6,537839
f2,22748
f6,512388
h5,463864
g5,575926
f4,726829
d2,27652
f8,10386
f3,442366
a6,520494
d8,11184
e5,1481901
b8,12982
b5,699839
b7,29034
a4,464968
c7,28608
b2,30723
g2,23911
h3,541375
h4,462892
d3,444695
d1,10974
b1,13288
c8,12244
e8,9838
g3,492347
f7,27909
b3,424530
a2,31577
d6,662136
f1,9884
e1,9652
c5,911136
c1,12232
e6,800440
c6,677496
g6,630199
g8,10462
d4,1624783
h7,26755
a8,16456
a7,31409
g7,27098
