Plies,BlackWins,WhiteWins,Draw
2,15,644,0
3,5499,801,268
4,210,4478,118
5,1603,154,53
6,109,1939,56
7,1343,160,46
8,104,2376,40
9,1563,186,42
10,127,2263,33
11,1670,276,36
12,180,2571,33
13,2028,285,35
14,209,3066,27
15,2486,322,34
16,283,3523,29
17,2786,400,24
18,329,4123,30
19,3173,469,42
20,347,4528,32
21,3548,611,32
22,439,5108,36
23,3841,615,34
24,537,5480,39
25,4359,781,43
26,665,6209,34
27,5025,842,35
28,753,7043,36
29,5575,944,42
30,796,7687,30
31,6234,1023,45
32,872,8589,57
33,6936,1097,52
34,1033,9425,51
35,7699,1119,46
36,1151,9876,58
37,8450,1195,65
38,1128,10650,42
39,9173,1326,75
40,1261,11537,63
41,9410,1417,69
42,1555,12101,88
43,10081,1480,90
44,1529,12974,68
45,11117,1637,83
46,1635,13459,91
47,11845,1623,71
48,1715,14327,103
49,12515,1708,90
50,1696,15108,107
51,13043,1684,89
52,1792,15359,110
53,13644,1692,101
54,1867,15825,119
55,13928,1650,127
56,1876,15947,108
57,14215,1702,142
58,1854,15878,167
59,14446,1608,156
60,1803,16221,127
61,14368,1541,155
62,1748,15826,136
63,14387,1547,186
64,1731,15522,190
65,14155,1464,176
66,1627,15064,184
67,14145,1448,193
68,1571,14617,209
69,13737,1360,215
70,1568,14058,231
71,13107,1276,227
72,1457,13627,224
73,12635,1161,241
74,1336,12986,261
75,12166,1193,250
76,1250,12447,292
77,11672,1055,251
78,1241,11789,262
79,11050,1044,301
80,1098,11488,282
81,10673,993,257
82,1113,10750,348
83,9941,900,318
84,1040,10011,300
85,9299,838,344
86,1002,9559,365
87,8808,828,345
88,962,8905,376
89,8399,766,367
90,939,8550,366
91,7874,745,388
92,823,8010,416
93,7484,704,383
94,900,7454,422
95,7158,726,434
96,779,7236,486
97,6759,642,469
98,733,6783,471
99,6241,594,476
100,717,6012,479
101,5936,595,517
102,712,5773,478
103,5508,527,504
104,634,5507,513
105,5022,512,532
106,594,5066,521
107,4847,510,549
108,534,4673,539
109,4455,440,542
110,539,4359,561
111,4203,441,557
112,519,4033,637
113,3787,413,581
114,483,3688,588
115,3507,391,593
116,432,3513,576
117,3184,336,604
118,436,3125,629
119,3036,339,552
120,393,2908,561
121,2729,274,582
122,371,2596,556
123,2637,292,548
124,345,2312,583
125,2275,269,509
126,358,2092,514
127,2100,247,468
128,306,1903,466
129,1877,243,462
130,311,1694,496
131,1719,222,450
132,276,1620,405
133,1571,184,430
134,257,1482,434
135,1443,200,435
136,235,1341,377
137,1235,177,396
138,221,1239,356
139,1088,163,384
140,226,1053,331
141,1115,161,348
142,222,965,318
143,928,162,315
144,166,855,304
145,850,150,295
146,187,767,264
147,774,132,263
148,168,715,286
149,675,112,262
150,157,620,209
151,631,121,217
152,160,579,187
153,549,107,209
154,131,496,200
155,514,87,166
156,135,413,175
157,413,99,161
158,118,415,166
159,426,91,145
160,127,349,142
161,332,69,131
162,123,349,131
163,307,82,123
164,102,279,134
165,297,83,105
166,94,276,92
167,239,79,114
168,97,221,116
169,237,63,84
170,79,188,81
171,215,60,89
172,62,182,86
173,182,62,67
174,79,160,73
175,162,68,79
176,59,142,59
177,158,45,72
178,57,120,66
179,141,53,62
180,48,119,60
181,119,48,50
182,72,108,61
183,101,53,47
184,45,95,54
185,101,34,53
186,51,87,44
187,75,37,50
188,42,79,37
189,84,23,45
190,40,87,34
191,58,31,43
192,24,57,34
193,54,23,26
194,32,57,35
195,51,26,23
196,31,55,33
197,61,28,32
198,27,42,30
199,42,19,23
200,21,44,27
201,50,23,23
202,23,44,24
203,37,23,13
204,30,30,20
205,42,13,21
206,22,26,30
207,39,20,20
208,14,25,15
209,33,21,14
210,15,24,8
211,30,8,17
212,21,27,16
213,22,18,10
214,21,17,9
215,21,10,9
