Queens,Count
h6,9459
f2,11960
f6,29208
h5,19814
g5,19147
f4,16909
d2,28160
f8,5868
f3,36962
a6,6450
d8,14563
e5,21984
b8,4863
b5,11568
b7,11827
a1,4877
c4,14205
c3,15958
f5,15564
d7,23797
b4,11504
d5,26957
e4,21156
c2,22778
e3,20076
g1,2831
h1,3565
a5,13791
b6,18294
e2,33766
e7,30849
h2,4944
a3,6025
h8,4701
g4,20214
f7,12864
b3,16518
a2,5291
d6,21706
f1,5615
e1,9223
c5,13980
c1,7331
e6,17974
g6,14199
g8,3256
c6,16042
h7,6684
d4,26135
a8,6033
a7,6316
g7,9877
a4,12265
c7,23741
b2,10990
g2,8893
h4,15564
d3,25442
h3,9244
d1,13721
b1,4428
c8,7649
e8,8626
g3,16095
