Location,Count
f7,168313
a2,110336
b3,80504
f1,1046458
d6,133973
e1,632111
c5,93037
c1,374058
e6,131788
c6,106204
g6,82977
g8,158070
h7,86804
d4,123784
a8,122134
a7,126669
g7,99222
a4,72633
c7,148044
b2,115404
g2,92070
d3,135101
h3,75390
h4,66901
d1,672721
b1,262428
c8,319665
e8,453005
g3,90113
f2,164345
h6,73016
f6,129055
h5,67863
g5,72428
f4,109834
d2,178454
f8,815707
f3,140987
a6,90836
d8,511923
e5,134474
b8,229075
b7,126943
b5,71647
a1,131304
c4,93688
c3,107151
f5,108593
d7,179532
b4,71151
d5,123248
e4,130973
c2,140997
e3,138911
g1,173002
h1,95274
a5,75854
b6,83628
e2,167691
e7,166887
h2,74835
a3,82150
h8,92575
g4,73951
