eco,name,moves
A00,Amar Gambit,g1h3 d7d5 g2g3 e7e5 f2f4 c8h3 f1h3 e5f4
A00,Amar Opening,g1h3
A00,Amar Opening: Gent Gambit,g1h3 d7d5 g2g3 e7e5 f2f4 c8h3 f1h3 e5f4 e1g1 f4g3 h2g3
A00,Amar Opening: Paris Gambit,g1h3 d7d5 g2g3 e7e5 f2f4
A00,Amsterdam Attack,e2e3 e7e5 c2c4 d7d6 b1c3 b8c6 b2b3 g8f6
A00,Anderssen Opening,a2a3
A00,Anderssen Opening: Polish Gambit,a2a3 a7a5 b2b4
A00,Barnes Opening: Fool's Mate,f2f3 e7e5 g2g4 d8h4
A00,Barnes Opening: Gedult Gambit,f2f3 d7d5 e2e4 g7g6 d2d4 d5e4 c2c3
A00,Barnes Opening: Gedult Gambit,f2f3 f7f5 e2e4 f5e4 b1c3
A00,Barnes Opening: Hammerschlag,f2f3 e7e5 e1f2
A00,Caro-Kann Defense: Labahn Attack,b2b4 c7c6 e2e4
A00,Clemenz Opening,h2h3
A00,Clemenz Opening: Spike Lee Gambit,h2h3 h7h5 g2g4
A00,Crab Opening,a2a4 e7e5 h2h4
A00,Creepy Crawly Formation: Classical Defense,h2h3 d7d5 a2a3 e7e5
A00,Englund Gambit Declined: Reversed French,e2e3 e7e5 d2d4
A00,Formation: Cabbage Attack,c2c3 e7e5 a2a3 d7d5 b2b3 g8f6 c1b2 b8c6 a3a4 f8d6 g2g3 e8g8 e2e3
A00,Formation: Hippopotamus Attack,a2a3 e7e5 b2b3 d7d5 c2c3 g8f6 d2d3 b8c6 e2e3 f8d6 f2f3 e8g8 g2g3
A00,Formation: Shy Attack,a2a3 e7e5 g2g3 d7d5 f1g2 g8f6 d2d3 b8c6 b1d2 f8d6 e2e3 e8g8 h2h3
A00,Gedult's Opening,f2f3
A00,Global Opening,h2h3 e7e5 a2a3
A00,Grob Opening,g2g4
A00,Grob Opening: Alessi Gambit,g2g4 f7f5
A00,Grob Opening: Double Grob,g2g4 g7g5
A00,"Grob Opening: Double Grob, Coca-Cola Gambit",g2g4 g7g5 f2f4
A00,Grob Opening: Grob Gambit,g2g4 d7d5 f1g2
A00,Grob Opening: Grob Gambit Declined,g2g4 d7d5 f1g2 c7c6
A00,"Grob Opening: Grob Gambit, Basman Gambit",g2g4 d7d5 f1g2 h7h5 g4h5
A00,"Grob Opening: Grob Gambit, Fritz Gambit",g2g4 d7d5 f1g2 c8g4 c2c4
A00,"Grob Opening: Grob Gambit, Fritz Gambit, Romford Countergambit",g2g4 d7d5 f1g2 c8g4 c2c4 d5d4 g2b7 b8d7 b7a8 d8a8
A00,"Grob Opening: Grob Gambit, Keres Gambit",g2g4 d7d5 f1g2 e7e5 d2d4 e5d4 c2c3
A00,"Grob Opening: Grob Gambit, Richter-Grob Gambit",g2g4 d7d5 f1g2 c7c6 c2c4 d5c4 b2b3
A00,Grob Opening: Keene Defense,g2g4 d7d5 h2h3 e7e5 f1g2 c7c6
A00,"Grob Opening: Keene Defense, Main Line",g2g4 d7d5 h2h3 e7e5 f1g2 c7c6 d2d4 e5e4 c2c4 f8d6 b1c3 g8e7
A00,Grob Opening: London Defense,g2g4 e7e5 h2h3 b8c6
A00,Grob Opening: Romford Countergambit,g2g4 d7d5 f1g2 c8g4 c2c4 d5d4
A00,Grob Opening: Spike Attack,g2g4 d7d5 f1g2 c7c6 g4g5
A00,"Grob Opening: Spike, Hurst Attack",g2g4 e7e5 f1g2 d7d5 c2c4
A00,Grob Opening: Zilbermints Gambit,g2g4 d7d5 e2e4 d5e4 b1c3
A00,"Grob Opening: Zilbermints Gambit, Schiller Defense",g2g4 d7d5 e2e4 d5e4 b1c3 h7h5
A00,"Grob Opening: Zilbermints Gambit, Zilbermints-Hartlaub Gambit",g2g4 d7d5 e2e4 d5e4 b1c3 e7e5 d2d3
A00,Hungarian Opening,g2g3
A00,Hungarian Opening: Asten Gambit,g2g3 b8c6 b1c3 d7d5 d2d4 e7e5 d4e5 d5d4 c3e4 f7f5
A00,Hungarian Opening: Burk Gambit,g2g3 e7e5 a2a3 d7d5 g1f3 e5e4 f3h4 f8e7 d2d3
A00,Hungarian Opening: Bücker Gambit,g2g3 d7d5 f1g2 e7e5 b2b4
