eco,name,moves
B00,Barnes Defense,e2e4 f7f6
B00,Borg Defense,e2e4 g7g5
B00,Borg Defense: Borg Gambit,e2e4 g7g5 d2d4 f8g7
B00,Borg Defense: Langhorst Gambit,e2e4 g7g5 d2d4 e7e6 c2c3 c7c5 d4c5 b7b6
B00,Borg Defense: Troon Gambit,e2e4 g7g5 d2d4 h7h6 h2h4 g5g4
B00,Borg Opening: Zilbermints Gambit,e2e4 g7g5 d2d4 e7e5
B00,Carr Defense,e2e4 h7h6
B00,Carr Defense: Zilbermints Gambit,e2e4 h7h6 d2d4 e7e5
B00,Duras Gambit,e2e4 f7f5
B00,Fried Fox Defense,e2e4 f7f6 d2d4 e8f7
B00,Goldsmith Defense,e2e4 h7h5
B00,Goldsmith Defense: Picklepuss Defense,e2e4 h7h5 d2d4 g8f6
B00,Guatemala Defense,e2e4 b7b6 d2d4 c8a6
B00,Hippopotamus Defense,e2e4 g8h6
B00,Hippopotamus Defense,e2e4 g8h6 d2d4 g7g6 c2c4 f7f6
B00,King's Pawn,e2e4
B00,King's Pawn Game: Nimzowitsch Defense,e2e4 b8c6 d2d4
B00,"King's Pawn Game: Nimzowitsch Defense, Wheeler Gambit",e2e4 b8c6 b2b4 c6b4 c2c3 b4c6 d2d4
B00,Lemming Defense,e2e4 b8a6
B00,Lion Defense: Lion's Jaw,e2e4 d7d6 d2d4 g8f6 f2f3
B00,Nimzowitsch Defense,e2e4 b8c6
B00,"Nimzowitsch Defense, Declined Variation",e2e4 b8c6 g1f3
B00,Nimzowitsch Defense: Breyer Variation,e2e4 b8c6 b1c3 g8f6 d2d4 e7e5
B00,Nimzowitsch Defense: El Columpio Defense,e2e4 b8c6 g1f3 g8f6 e4e5 f6g4
B00,"Nimzowitsch Defense: El Columpio Defense, El Columpio Gambit",e2e4 b8c6 g1f3 g8f6 e4e5 f6g4 d2d4 d7d6 h2h3 g4h6 e5e6
B00,"Nimzowitsch Defense: El Columpio Defense, Exchange Variation",e2e4 b8c6 g1f3 g8f6 e4e5 f6g4 d2d4 d7d6 h2h3 g4h6 e5d6
B00,"Nimzowitsch Defense: El Columpio Defense, Pin Variation",e2e4 b8c6 g1f3 g8f6 e4e5 f6g4 d2d4 d7d6 h2h3 g4h6 f1b5
B00,Nimzowitsch Defense: Franco-Hiva Gambit,e2e4 b8c6 d2d4 e7e6 b1c3 f7f5 e4f5 g8f6
B00,Nimzowitsch Defense: Franco-Hiva Gambit,e2e4 b8c6 d2d4 e7e6 g1f3 f7f5 e4f5 g8f6
B00,Nimzowitsch Defense: Franco-Nimzowitsch Variation,e2e4 b8c6 g1f3 e7e6
B00,Nimzowitsch Defense: French Connection,e2e4 b8c6 b1c3 e7e6
B00,Nimzowitsch Defense: Hornung Gambit,e2e4 b8c6 d2d4 d7d5 c1e3
B00,Nimzowitsch Defense: Kennedy Variation,e2e4 b8c6 d2d4 e7e5
B00,"Nimzowitsch Defense: Kennedy Variation, Bielefelder Gambit",e2e4 b8c6 d2d4 e7e5 d4e5 f8c5
B00,"Nimzowitsch Defense: Kennedy Variation, Hammer Gambit",e2e4 b8c6 d2d4 e7e5 d4e5 f7f6
B00,"Nimzowitsch Defense: Kennedy Variation, Herford Gambit",e2e4 b8c6 d2d4 e7e5 d4e5 d8h4
B00,"Nimzowitsch Defense: Kennedy Variation, Keres Attack",e2e4 b8c6 d2d4 e7e5 d4e5 c6e5 b1c3
B00,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",e2e4 b8c6 d2d4 e7e5 d4d5
B00,"Nimzowitsch Defense: Kennedy Variation, Main Line",e2e4 b8c6 d2d4 e7e5 d4e5 c6e5 f2f4 e5g6
B00,"Nimzowitsch Defense: Kennedy Variation, Paulsen Attack",e2e4 b8c6 d2d4 e7e5 d4e5 c6e5 g1f3
B00,"Nimzowitsch Defense: Kennedy Variation, Riemann Defense",e2e4 b8c6 d2d4 e7e5 d4e5 c6e5 f2f4 e5c6
