eco,name,moves
D00,Amazon Attack,d2d4 d7d5 d1d3
D00,Blackmar Gambit,d2d4 d7d5 e2e4
D00,Blackmar-Diemer Gambit,d2d4 d7d5 e2e4 d5e4 b1c3
D00,Blackmar-Diemer Gambit,d2d4 g8f6 b1c3 d7d5 e2e4
D00,Blackmar-Diemer Gambit Declined: Brombacher Countergambit,d2d4 g8f6 b1c3 d7d5 e2e4 d5e4 f2f3 c7c5
D00,Blackmar-Diemer Gambit Declined: Elbert Countergambit,d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e7e5
D00,Blackmar-Diemer Gambit Declined: Grosshans Defense,d2d4 d7d5 e2e4 d5e4 b1c3 c8d7
D00,Blackmar-Diemer Gambit Declined: Lamb Defense,d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 b8c6
D00,Blackmar-Diemer Gambit Declined: Langeheinecke Defense,d2d4 g8f6 b1c3 d7d5 e2e4 d5e4 f2f3 e4e3
D00,"Blackmar-Diemer Gambit: Bogoljubov Defense, Mad Dog Attack",d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 g7g6 f1c4 f8g7 h2h4
D00,Blackmar-Diemer Gambit: Bogoljubov Variation,d2d4 g8f6 b1c3 d7d5 e2e4 d5e4 f2f3 e4f3 g1f3 g7g6
D00,"Blackmar-Diemer Gambit: Bogoljubov Variation, Kloss Attack",d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 g7g6 f1c4 f8g7 e1g1 e8g8 g1h1
D00,"Blackmar-Diemer Gambit: Bogoljubov Variation, Nimzowitsch Attack",d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 g7g6 f1c4 f8g7 f3e5
D00,"Blackmar-Diemer Gambit: Bogoljubov Variation, Studier Attack",d2d4 g8f6 b1c3 d7d5 e2e4 d5e4 f2f3 e4f3 g1f3 g7g6 f1c4 f8g7 e1g1 e8g8 d1e1
D00,Blackmar-Diemer Gambit: Diemer-Rosenberg Attack,d2d4 d7d5 e2e4 d5e4 c1e3
D00,Blackmar-Diemer Gambit: Euwe Defense,d2d4 g8f6 b1c3 d7d5 e2e4 d5e4 f2f3 e4f3 g1f3 e7e6
D00,"Blackmar-Diemer Gambit: Euwe Defense, Zilbermints Gambit",d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 e7e6 c1g5 f8e7 f1d3 b8c6 e1g1 c6d4 g1h1
D00,Blackmar-Diemer Gambit: Fritz Attack,d2d4 d7d5 e2e4 d5e4 f1c4
D00,Blackmar-Diemer Gambit: Gedult Gambit,d2d4 d7d5 e2e4 d5e4 f2f3
D00,Blackmar-Diemer Gambit: Kaulich Defense,d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 c7c5
D00,"Blackmar-Diemer Gambit: Lemberger Countergambit, Diemer Attack",d2d4 d7d5 e2e4 d5e4 b1c3 e7e5 c1e3
D00,"Blackmar-Diemer Gambit: Lemberger Countergambit, Endgame Variation",d2d4 d7d5 e2e4 d5e4 b1c3 e7e5 d4e5
D00,"Blackmar-Diemer Gambit: Lemberger Countergambit, Rassmussen Attack",d2d4 d7d5 e2e4 d5e4 b1c3 e7e5 g1e2
D00,"Blackmar-Diemer Gambit: Lemberger Countergambit, Simple Variation",d2d4 d7d5 e2e4 d5e4 b1c3 e7e5 c3e4
D00,"Blackmar-Diemer Gambit: Lemberger Countergambit, Sneider Attack",e2e4 d7d5 d2d4 d5e4 b1c3 e7e5 d1h5
D00,Blackmar-Diemer Gambit: Pietrowsky Defense,d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 b8c6
D00,Blackmar-Diemer Gambit: Rasa-Studier Gambit,d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 c1e3
D00,Blackmar-Diemer Gambit: Ritter Defense,d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 b7b6
D00,Blackmar-Diemer Gambit: Rook Pawn Defense,d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 h7h5
D00,Blackmar-Diemer Gambit: Ryder Gambit,d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 d1f3
D00,Blackmar-Diemer Gambit: Schlutter Defense,d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 b8d7
D00,Blackmar-Diemer Gambit: Tartakower Variation,e2e4 d7d5 d2d4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 c8f5
D00,Blackmar-Diemer Gambit: Teichmann Variation,e2e4 d7d5 d2d4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 c8g4
D00,Blackmar-Diemer Gambit: Vienna Variation,d2d4 g8f6 b1c3 d7d5 e2e4 d5e4 f2f3 c8f5
D00,Blackmar-Diemer Gambit: Zeller Defense,d2d4 d7d5 e2e4 d5e4 b1c3 c8f5
D00,"Blackmar-Diemer Gambit: Zeller Defense, Soller Attack",d2d4 d7d5 e2e4 d5e4 b1c3 c8f5 f2f3 g8f6 f1c4
D00,Blackmar-Diemer Gambit: Ziegler Defense,d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 c7c6
D00,Blackmar-Diemer Gambit: von Popiel Gambit,d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 c1g5
D00,"Blackmar-Diemer Gambit: von Popiel Gambit, Zilbermints Variation",d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 c1g5 c8f5 g5f6 e7f6 g2g4 f5g6 d1e2 f8b4 e2b5
D00,"Blackmar-Diemer, Lemberger Countergambit",d2d4 d7d5 b1c3 g8f6 e2e4 e7e5
D00,Queen's Pawn Game,d2d4 d7d5
D00,Queen's Pawn Game,d2d4 d7d5 e2e3
D00,Queen's Pawn Game,d2d4 d7d5 e2e3 g8f6
D00,Queen's Pawn Game: Chigorin Variation,d2d4 d7d5 b1c3
D00,Queen's Pawn Game: Hübsch Gambit,d2d4 g8f6 b1c3 d7d5 e2e4 f6e4
D00,Queen's Pawn Game: Levitsky Attack,d2d4 d7d5 c1g5
D00,"Queen's Pawn Game: Levitsky Attack, Welling Variation",d2d4 d7d5 c1g5 c8g4
D00,Queen's Pawn Game: Mason Attack,d2d4 d7d5 f2f4
D00,Queen's Pawn Game: Mason Variation,d2d4 d7d5 c1f4
D00,Queen's Pawn Game: Morris Countergambit,d2d4 d7d5 c1f4 c7c5 e2e4
D00,Queen's Pawn Game: Steinitz Countergambit,d2d4 d7d5 c1f4 c7c5
