eco,name,moves
E00,Catalan Opening,d2d4 g8f6 c2c4 e7e6 g2g3
E00,Catalan Opening,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5
E00,Catalan Opening: Hungarian Gambit,d2d4 g8f6 c2c4 e7e6 g2g3 e6e5
E00,Indian Game,d2d4 g8f6 c2c4 e7e6 d1b3
E00,Indian Game: Devin Gambit,d2d4 g8f6 c2c4 e7e6 g2g4
E00,Indian Game: Seirawan Attack,d2d4 g8f6 c2c4 e7e6 c1g5
E01,Catalan Opening: Closed,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2
E01,"Catalan Opening: Open Defense, Tarrasch Defense",d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 c7c5 g1f3 b8c6
E02,Catalan Opening: Open Defense,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 d5c4 d1a4
E03,Catalan Opening: Open Defense,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 d5c4 d1a4 b8d7 a4c4
E03,"Catalan Opening: Open Defense, Alekhine Variation",d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 d5c4 d1a4 b8d7 a4c4 a7a6 c4c2
E04,Catalan Opening: Open Defense,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 d5c4 g1f3
E04,"Catalan Opening: Open Defense, Modern Sharp Variation",d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 d5c4 g1f3 b8c6 d1a4 f8b4
E05,"Catalan Opening: Open Defense, Classical Line",d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 d5c4 g1f3 f8e7
E06,Catalan Opening: Closed,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8e7 g1f3
E07,Catalan Opening: Closed,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8e7 g1f3 e8g8 e1g1 b8d7
E07,"Catalan Opening: Closed, Botvinnik Variation",c2c4 e7e6 g2g3 d7d5 f1g2 g8f6 g1f3 f8e7 d2d4 e8g8 b1c3 c7c6 e1g1 b8d7 d1d3
E08,Catalan Opening: Closed,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8e7 g1f3 e8g8 e1g1 b8d7 d1c2 c7c6 b2b3
E08,Catalan Opening: Closed,g1f3 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8e7 e1g1 e8g8 d2d4 b8d7 d1c2
E08,"Catalan Opening: Closed, Spassky Gambit",d2d4 g8f6 c2c4 e7e6 g2g3 f8e7 f1g2 d7d5 g1f3 e8g8 e1g1 b8d7 d1c2 c7c6 b2b3 b7b6 f1d1 c8b7 b1c3 b6b5
E08,"Catalan Opening: Closed, Zagoryansky Variation",d2d4 e7e6 c2c4 g8f6 g1f3 d7d5 g2g3 f8e7 f1g2 e8g8 e1g1 b8d7 d1c2 c7c6 f1d1 b7b6 a2a4
E09,"Catalan Opening: Closed Variation, Rabinovich Variation",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 d1c2 e7e6 b1d2 f8e7 g2g3 b8d7 f1g2 e8g8 e1g1 b7b5
