opening,1200-1400,1400-1600,1600-1800,1800-2000,2000-2200,2200-2300,2300-2400,2400-2500,2500-2700,2700+,<1200,total
Van't Kruijs Opening,78912,96449,83707,51267,22146,4048,1634,732,404,49,69208,408556
Modern Defense,53705,92421,94426,59505,24208,4224,2121,836,556,79,30961,363042
Scandinavian Defense: Mieses-Kotroc Variation,71081,94441,86365,44595,13193,2106,965,424,264,14,40602,354050
Horwitz Defense,44625,70411,75384,49336,19782,3033,1264,570,316,31,28366,293118
Caro-Kann Defense,39703,70429,82151,50625,17168,2628,957,358,210,16,19515,283760
French Defense: Knight Variation,50624,79925,76470,36579,8661,1024,350,121,95,7,27166,281022
Sicilian Defense,54933,75761,61889,32188,9372,1307,486,173,174,16,32354,268653
Scandinavian Defense,55555,54068,44234,27020,10920,2123,899,348,211,13,61391,256782
Owen Defense,41161,68239,65384,33651,10399,1522,622,237,129,15,22533,243892
Queen's Pawn Game: Mason Attack,47328,65005,51697,26867,8272,1476,665,332,127,21,25402,227192
