Plies,BlackWins,WhiteWins,Draw
1,234,24333,21
2,26939,3794,1473
3,1014,9376,585
4,6564,979,379
5,796,8016,372
6,6979,1130,322
7,1158,17328,303
8,11039,1808,285
9,1839,17201,304
10,13205,2964,276
11,3042,20020,298
12,16447,4838,305
13,4624,25054,302
14,19372,7797,330
15,7242,27888,338
16,21338,11144,329
17,9767,30183,333
18,22451,14952,348
19,12647,30490,355
20,24448,18947,362
21,16017,32387,374
22,26688,22719,411
23,19000,35126,406
24,29116,26459,408
25,21671,38462,402
26,32971,29714,433
27,24156,42496,458
28,37031,32133,486
29,26027,47227,489
30,42119,34214,475
31,27903,52668,482
32,46946,36372,514
33,29233,57606,534
34,52379,37834,591
35,31026,60334,625
36,57660,38009,611
37,32221,65508,644
38,63600,40319,652
39,33902,71846,657
40,69545,42037,700
41,35445,77039,674
42,75535,43651,764
43,36404,83010,794
44,81579,44916,816
45,37727,88138,807
46,86093,45009,857
47,39108,92687,905
48,91733,46625,941
49,39565,96766,985
50,95674,46900,1020
51,40064,100081,1026
52,98844,46672,1112
53,40414,101758,1087
54,101331,46449,1165
55,39972,103029,1212
56,102451,46123,1257
57,40027,103131,1327
58,102322,45081,1434
59,38771,102885,1439
60,102092,43882,1594
61,37929,100576,1582
62,100000,42466,1761
63,36544,99097,1692
64,96755,40358,1861
65,35631,96350,1932
66,94519,38615,1964
67,33906,92442,1975
68,90703,37751,2126
69,32560,88367,2219
70,86914,35157,2362
71,30944,85165,2350
72,82906,33343,2413
73,29447,81133,2489
74,79435,31898,2617
75,27586,77285,2622
76,75997,29950,2799
77,26381,73399,2916
78,72050,28256,2971
79,25069,69171,2817
80,68043,26599,3099
81,23618,65544,2985
82,64321,25120,3213
83,22414,61946,3353
84,61481,23599,3331
85,21051,58740,3434
86,57344,22389,3568
87,20029,55915,3677
88,54838,20983,3696
89,18637,53804,3774
90,51951,20701,3943
91,17802,51606,4035
92,49246,18842,4236
93,16734,48420,4200
94,45951,17860,4195
95,15625,44973,4625
96,43893,16719,4469
97,14870,42502,4684
98,41212,15523,4724
99,13743,39467,4833
100,38570,14437,4922
101,12749,37166,5017
102,36386,13284,5039
103,12113,34695,5196
104,33956,12428,5286
105,11146,32425,5443
106,32032,11709,5526
107,10460,30331,5563
108,29688,10762,5428
109,9574,28113,5538
110,27607,9918,5528
111,9173,26037,5646
112,25591,9222,5431
113,8274,24071,5641
114,23645,8532,5547
115,7864,22129,5529
116,21811,7942,5591
117,7015,20332,5342
118,20038,7084,5286
119,6447,18618,5321
120,18518,6539,5183
121,5783,17211,5120
122,16997,5991,5043
123,5471,15652,5047
124,15281,5487,4855
125,4875,14451,4750
126,14078,4901,4631
127,4305,12955,4442
128,12781,4482,4302
129,4059,11862,4305
130,11508,4151,4068
131,3643,10701,4091
132,10362,3722,3931
133,3346,9654,3783
134,9421,3346,3563
135,2888,8603,3399
136,8396,3024,3367
137,2519,7754,3178
138,7565,2814,3118
139,2385,7074,2975
140,6747,2432,2791
141,2041,6181,2780
142,5977,2188,2552
143,1785,5389,2504
144,5351,2004,2348
145,1688,4946,2351
146,4736,1731,2004
